scope,split,collision_type,physical_image_id,n_items,item_ids,note
within_split,downstream_v2,shared_physical_image_within_split,e5b45858fef5b1fb286f96d71ae5322b2d0c23b985406e52386380d2f97429de,2,tallyqa_down:count:30132806|gqa_down:spatial:19355323,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,90ef8f8beb813da646b0582d9cc19b988bae9a48d3d2a8abd6a5e63b40f035df,2,tallyqa_down:count:30098614|gqa_down:presence:06610162,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,1ff2ec313c9cc8ab25b3ed4fa6191d4e0307f8c4b2d67356b4ecb06ecf106ec2,2,tallyqa_down:count:30126734|gqa_down:spatial:08211523,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,13ea17d6ad13b3fb5542d6d7615cc2d32d0149b9d734ff265f9dcc1ab7993dcf,2,tallyqa_down:count:30109197|gqa_down:spatial:08849759,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,25273e8c700f800efdb78b6857fa99fb03d2bdfe957386fa316552b4ecba2a8c,2,tallyqa_down:count:30119931|gqa_down:attribute:161043032,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,7d3f4fa8ea3316b8f3541a9bb56a326d56965e0c1ab2b4691fcb6c9a7d086243,2,tallyqa_down:count:30123379|gqa_down:spatial:18505424,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,769de37133238bc328c98cdaf528978dd3306a634c93453620dea327d775409c,2,tallyqa_down:count:30143318|gqa_down:attribute:03291332,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,f6330be8788dce2ad3f1b6808adcae4d5352029fb56b9f2f919fd909b82a43a4,2,tallyqa_down:count:30133039|gqa_down:spatial:09790744,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,9f7ada63eac40e8ac0e343a1d3f0539067961b021d3419968b9a7fa46f759c90,2,tallyqa_down:count:30094946|gqa_down:presence:17741378,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,fe8a363047448a86efc7a180f586466fd54a5ff6d4e7c7ebe3e777536d77a4a7,2,tallyqa_down:count:30125527|gqa_down:attribute:03338848,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,52accc3fe003881cc0209750a6de9e901dc1f8c1e43de1505f6f43606d5c377c,2,tallyqa_down:count:30145300|gqa_down:presence:12919326,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,e255b7326ab7d88a45fb8c4a6cf43c86fc588eb3f1c2be88b25dd3a3d98e0dc2,2,tallyqa_down:count:30135010|gqa_down:attribute:01921454,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,e87b2a35ee3344461ed6e026c99328789b887c910ab1551853d9a720d46832c6,2,tallyqa_down:count:30152866|gqa_down:attribute:11654523,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,e4118b5bfda4fd2b63fff458e38b0f90bc464fe1b24e5d2f81e7cf9577bfc0a3,2,tallyqa_down:count:30124620|gqa_down:presence:11883172,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,a2a3cf98a1f41b6482250f9a38a21f88262bb8598f6dc4cbbdfe354ffa375d2b,2,tallyqa_down:count:30150200|gqa_down:presence:19898337,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,6c808b4f069a4d661837393e3849d637b7e62b5abf96d473cae9713a16a7a161,3,tallyqa_down:count:30162395|gqa_down:presence:09378288|gqa_down:spatial:09378514,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,6bc3f40708ecf08fde037023a501e4cc2d4bca1ef18ffe9d4f7d047250d57219,2,tallyqa_down:count:30160162|gqa_down:attribute:00659747,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,7d1726dbdc0a1fcb146e855e179f1f94ed803adb8af9491f82b7402c1bb4a333,2,tallyqa_down:count:30092642|gqa_down:attribute:16806558,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,817b06742408fcfa689622b45c058558b30d759ec9adbb0e084b21037c61bd9d,2,tallyqa_down:count:30116095|gqa_down:spatial:12114668,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,4f477115ebec2f0bd62404936fe4ba6c3f8ce6a320554e5429dab9edb564dc8e,2,tallyqa_down:count:30160445|gqa_down:attribute:09794830,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,91ada380c5abb95925e9bcbdf69eb4539c6dbc3047d4f6bce6df540e57bfc866,2,tallyqa_down:count:30131190|gqa_down:attribute:16114343,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,677c544b99164c9608ad122756e8ac1761a974b9ebc6ecce9fcdde3fe66cde7a,2,tallyqa_down:count:30118920|gqa_down:attribute:16825840,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,54017922c2cd49f624a51e373fc5b0ff7f8849894a498778464b2a04285e31b8,2,tallyqa_down:count:30116242|gqa_down:attribute:0069937,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,c00197a141f8311f94c846116c4763b0c801dad6df57d8bb4bc533fa28fabe52,2,tallyqa_down:count:30121336|gqa_down:attribute:00201765,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
within_split,downstream_v2,shared_physical_image_within_split,625a84ca70d18d895560924e4bac65fe17c2aac76748044aa16684dd3532cdea,2,tallyqa_down:count:30141429|gqa_down:attribute:01839069,Not a static/audit/downstream leak; TallyQA and GQA can share VG/COCO bytes inside one split.
